,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
64,115,CyberKongz VX,423.12,-24.62%,-9.91%,2.15,4.5K,14.8K
55,116,Look Labs 420 Game,411.43,-42.83%,-61.60%,0.33,4.1K,2
62,117,FLUF World,408.04,-40.37%,-13.10%,3.4,3.6K,10.0K
56,118,MekaApes Game by OogaVerse,406.13,-32.97%,+123.75%,0.05,1.8K,43.7K
61,119,ALINFT,405.07,-22.02%,-75.04%,0.07,4.2K,8.1K
57,120,Flying Formations,403.84,---,---,5.3,101,120
60,121,Cereal Club,394.61,-48.66%,-71.22%,0.06,4.5K,10.0K
58,122,The Martians: Metaverse,390.05,+193.26%,+8.64%,1.33,3.1K,5.0K
59,123,MoodRollers by Lucas Zanotto,386.17,-32.59%,-21.12%,0.38,2.7K,5.0K
44,124,Genesis Critterz,381.03,-60.47%,+72.28%,1.69,190,3.9K
75,125,CyberKongz,379.11,-88.57%,-25.03%,7.65,2.4K,5.0K
74,126,MetaHero Universe: Planet Tokens,370.72,+18.98%,+7.24%,0.3,11.7K,11
49,127,Alpha Elementary,370.09,-49.56%,+5.48%,0.17,1.1K,3.0K
50,128,Adam Bomb Squad,369.08,-26.98%,+28.52%,0.7,8.7K,25.0K
45,129,MidnightBreeze,369.06,-29.63%,-66.17%,0.36,3.3K,7.0K
48,130,Lil' Heroes by Edgar Plans,356.42,-50.25%,-2.33%,1,4.1K,7.8K
46,131,The MetaPortal,353.59,-34.01%,---,0.4,986,1
70,132,Crypto Tech Women Collection NFT,350.83,-71.41%,---,0.07,3.4K,8.8K
30,133,JRNY CLUB OFFICIAL,344.91,-17.54%,+34.11%,3.58,6.8K,10.0K
43,134,Lazy Lions,342.22,+13.62%,-15.74%,1.6,5.1K,10.1K
41,135,Dooggies,341.99,-30.17%,-84.95%,0.09,3.5K,10.0K
66,136,Meebits,340.31,+64.65%,+35.59%,2.59,5.8K,20.0K
61,137,NeoTokyo Citizens,338.63,+260.34%,+35.89%,15.75,1.9K,2.0K
64,138,CryptoBatz by Ozzy Osbourne,333.72,-34.22%,-52.54%,0.29,6.8K,9.7K
62,139,METAKAYS.,327.48,+2.82%,+2205.81%,0.05,3.2K,8.9K
63,140,Dysto Apez Official,326.5,-48.40%,+316.38%,0.5,2.0K,4.4K
54,141,AngelsDevilsNFT,325.31,-73.90%,---,0.07,2.7K,10.0K
36,142,BYOPill,324.3,+53.65%,+90.94%,2,3.3K,10.0K
