,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
32,647,Black Meta Multipass,32.74,-16.52%,---,0.09,895,1.5K
1,648,uwucrew,32.48,+28.41%,-27.63%,0.22,4.0K,9.7K
29,649,Cozy Penguins NFT,32.46,+434.42%,-60.38%,0.06,3.7K,10.0K
51,650,Exclusible Alpha,32.46,+13.85%,-50.45%,0.42,1.2K,3.0K
28,651,Abstract by Hinote,32.39,-100.00%,---,---,454,1.1K
23,652,The Nifty Portal,32.29,+55.24%,-32.71%,0.13,4.9K,1
26,653,Louz City,32.18,-68.61%,---,0.08,497,1.1K
24,654,Cool Monkes Boosters,32.11,-6.24%,+32.94%,0.03,374,10.0K
49,655,MetaSniper,31.84,-44.84%,+6.40%,1.96,345,345
32,656,Alien Ape Yacht Club Collection,31.84,+57.86%,+24.77%,0.02,2.6K,10.0K
46,657,Art Blocks Factory,31.79,-19.57%,-21.88%,---,22.3K,85.5K
44,658,CityDAO Citizenship,31.7,-40.06%,+24.67%,0.52,5.0K,3
45,659,Life of Mon,31.7,-47.60%,---,0.97,80,1
40,660,GHARLIERA STAMPS,31.56,---,---,---,20,2
43,661,Ben Mezrich Project - Meme Stock Collection,31.5,-20.97%,-37.13%,0.1,3.5K,6.0K
17,662,BrokeBoyz,31.44,+328.52%,-36.81%,0.09,1.8K,6.9K
18,663,NFTNerds,31.42,---,+220.61%,4.9,97,1
9,664,Amazon Green Wall Club On Polygon,31.42,-100.00%,---,---,41,1
15,665,Artvatars One,31.19,+1386.00%,---,0.09,246,500
13,666,Meta Adventure Kongz Collaboration,"71,858.23",+2.41%,---,1800,93,100
14,667,FULL SEND X Alien Frens Official,31.11,-69.35%,-56.94%,0.32,855,1.0K
34,668,SapphireLicense,31.06,+73.30%,+146.69%,1.53,205,205
36,669,Marine Marauderz 2D,30.97,+238.09%,+507.56%,0.04,2.7K,7.8K
35,670,CyberBabies.io,30.75,+197.23%,+17.07%,0.97,481,500
0,671,Bad Bears Genesis,30.73,+60.01%,-66.89%,0.12,1.9K,5.6K
29,672,Neo Tokyo Part 3 Item Caches,30.54,+773.95%,+25.22%,1.15,376,2.5K
5,673,C86 Cyborg,30.48,-23.59%,+41.42%,0.09,4.0K,8.6K
6,674,Curious Addys' Trading Club,30.24,+90.65%,-53.78%,0.23,2.2K,5.0K
3,675,Neo Tokyo Part 2 Vault Cards,29.94,-38.89%,-53.21%,2.75,409,2.5K
26,676,Women of Crypto,29.89,-43.67%,-88.12%,0.05,5.2K,8.9K
22,677,A.N.I.M.O,29.87,+78.90%,+25.35%,0.12,3.8K,10.0K
24,678,Bored Doge Club,29.75,+64.35%,---,0.04,1.1K,2.0K
23,679,Devs for Revolution,29.65,+2.34%,+621.39%,0.16,5.8K,7.8K
18,680,beepos,29.63,+17.80%,-59.83%,0.03,4.6K,10.0K
21,681,BYOKey,29.52,-2.27%,+67.74%,3.09,224,1
19,682,Funky Flies Official,29.29,-43.01%,+124.17%,0.03,1.1K,7.8K
20,683,Kuroro Ferry Tickets,29.24,+175.72%,-13.75%,0.94,608,1
1,684,Bloodshed Bears Genesis MetaPass,29.16,---,-56.75%,---,126,1
17,685,TheMintPass,29.13,+399.63%,---,0.1,1.3K,2.5K
15,686,MetaLizards Official,29.1,+72.12%,-7.93%,0.05,1.5K,4.4K
16,687,NFT2040 Crates,28.91,-55.33%,+28.43%,0.33,878,2.5K
2,688,PunksVoxels,28.87,-45.93%,+288.06%,0.01,449,10.0K
14,689,MultiNode,28.79,---,-19.74%,0.14,987,2.5K
12,690,Board Ape Collective,28.71,+30.49%,-83.48%,0.13,666,2.0K
13,691,TIMEPieces Slices of TIME (Artists),28.68,-22.60%,-83.42%,0.04,2.6K,4.9K
3,692,MindFulls,28.67,+87.98%,-95.02%,0.14,562,1.1K
11,693,THE TOKS,28.66,-75.39%,---,0.03,1.2K,3.6K
4,694,Jadu Jetpack,28.53,-66.06%,-23.68%,3.25,763,1.1K
10,695,EtherLambos,28.45,---,+257.91%,0.7,779,1.6K
5,696,Coalition Crew 2.0,28.37,+147.15%,+35.00%,0.2,1.3K,4.0K
9,697,Remarkable Women NFT,28.2,-76.69%,-79.49%,0.07,2.3K,6.0K
6,698,Dreamland Genesis,28.1,-72.25%,-35.22%,0.07,4.3K,10.0K
7,699,Booze Bears Official,28.01,-44.59%,---,0.04,1.2K,3.3K
8,700,DinoBabies - Ziggy's Landing,27.97,+311.89%,+4.57%,0.15,3.0K,5.5K
75,701,Monster Ape Club | MAC,27.59,+49.62%,-62.15%,0.1,4.3K,8.0K
73,702,Samurai Saga,27.49,+19.26%,-27.30%,0.2,1.6K,10.0K
74,703,ArcadeNFT,27.43,-94.78%,-1.17%,0.1,3.2K,6.1K
69,704,Hungry Wolves,27.36,+78.95%,+41.25%,0.15,1.4K,6.0K
72,705,gm token,27.36,---,-59.63%,2,741,818
70,706,Honey Hives Deluxe,27.31,+71.43%,+19.18%,0.08,2.1K,5.6K
71,707,Dapper Dinos NFT,27.25,+641.86%,-4.31%,0.18,4.3K,10.0K
53,708,Genzee,27.25,+45.54%,+87.83%,0.09,3.4K,9.9K
68,709,One Hour Time Pieces,27.24,---,-10.05%,0.6,282,500
66,710,CryptoHippos Official,27.21,+26.45%,---,0.08,2.0K,4.8K
67,711,Creepz Shapeshifterz,27.17,+209.19%,-9.58%,0.11,1.4K,2.6K
54,712,Forgotten Ethereal Worlds,26.9,-100.00%,+216.47%,6.5,337,345
65,713,Katabolicz Genesis,26.8,-78.09%,-58.66%,0.83,771,888
63,714,KEYCard V1,26.7,-100.00%,-31.33%,---,115,118
64,715,X-Consoles by 0xnft,26.53,---,+31.21%,1.74,45,1.0K
55,716,Influence Asteroids,26.51,-12.27%,+254.33%,0.03,2.3K,11.1K
62,717,Evaverse Hoverboards,26.37,+53.10%,+14.06%,0.09,3.2K,10.0K
56,718,DuskBreakers,26.21,-8.28%,-65.48%,0.22,2.9K,10.0K
61,719,MutantCats,26.17,+12.51%,-84.09%,0.2,1.4K,10.0K
57,720,Apes-R-Us,26.06,-44.74%,-57.82%,0.1,3.8K,8.4K
60,721,Meka Ape Club (Official),26,-6.04%,+46.73%,0.17,2.8K,5.6K
58,722,Caked Apes Official,25.91,-52.91%,-2.64%,0.09,4.9K,8.9K
59,723,Sacred Skulls (Official),25.88,-3.30%,-40.56%,0.07,4.0K,8.9K
44,724,AnonymiceBreeding,25.8,-2.54%,-11.16%,0.45,1.8K,3.6K
75,725,All that Remains,25.79,-100.00%,-72.28%,0.79,345,6
51,726,Knights of Degen - Knights!,25.73,+334.87%,-21.39%,0.4,2.6K,8.9K
72,727,HUEPHORIA,25.48,-69.34%,---,0.01,365,777
50,728,Global Citizen Club,25.47,-1.93%,-29.32%,0.07,3.9K,8.9K
68,729,DSC | DIGITAL IDENTITY,"58,607",+266.79%,-80.39%,545,1.7K,10.0K
48,730,Dr. ETHvil's 3D FrankenPunks,25.39,-14.39%,-34.31%,0.09,5.6K,10.0K
69,731,XCOPY,25.1,---,-74.56%,4.1,711,1.3K
47,732,FOMO Dog Club,25.1,---,+42.61%,5.9,682,777
30,733,The Story Of Swipa The Fox,24.95,-100.00%,+8533.22%,---,120,6
67,734,ROHKI Genesis Key,24.91,-100.00%,-21.91%,---,83,100
65,735,DO NOT purchase from this collection. - Voyagers: Unknown | 304X,24.82,-99.65%,---,< 0.01,231,566
66,736,Angry Boars,24.8,-17.15%,-52.67%,0.06,3.5K,10.0K
61,737,Ether Cards Founder,24.74,-95.16%,+72.71%,0.49,1.5K,10.0K
40,738,Stoner Cats,24.7,+216.86%,+121.24%,0.3,5.1K,10.4K
62,739,Klay DinoMon,"56,844.46",-39.71%,-71.66%,46.85,607,3.0K
39,740,GANGSTER ALL STAR UNIVERSE,24.64,+55.15%,+3.68%,---,98,115
30,741,The Subtle Art of Not Giving a Fuck x Mark Manson,24.49,-58.60%,---,0.1,817,1.1K
36,742,Nonconformist Hell Ducks,24.47,+9.72%,+39.17%,0.03,1.5K,10.0K
58,743,X Rabbits Club,24.45,-51.18%,-65.36%,0.14,3.4K,7.5K
59,744,NFT Butler,24.4,-31.15%,+467.44%,0.7,61,1
55,745,Machine Hallucinations - NYC,24.36,-60.80%,+61.85%,1.89,331,1.0K
57,746,Mongz,"55,915.91",-65.59%,+71.00%,32,766,5.6K
32,747,Mysterverse - Lucky Zodiac,24.2,---,---,0.17,34,301
1,748,Mfers Ahead,24.14,+19.33%,+76.45%,0.18,198,421
29,749,SlimeFarm_NFT,"55,633.4",+159.29%,-59.14%,130,719,5.4K
27,750,ElectroPixelKongz,"55,604.9",-60.72%,-80.28%,120,1.8K,9.9K
52,751,Valiant Universe Punk Mambo,24.02,-52.75%,+314.14%,0.08,883,2.4K
23,752,Sneaky Bat Syndicate,23.92,+20.62%,-55.35%,0.19,1.5K,8.3K
26,753,Big Time Founders Collection,23.89,+70.32%,+78.88%,0.16,2.6K,5
48,754,LateDAO-Wawawa,23.79,-33.24%,-60.53%,0.29,2.7K,6.6K
25,755,Good Deeds With NFT's,23.77,-80.30%,+973.20%,0.19,353,1
8,756,//CreativeWorkStudios.,23.74,-39.23%,-51.43%,0.35,985,5
46,757,Riot Racers Cars,23.73,+80.95%,+338.54%,0.09,1.5K,6.8K
20,758,KokoDi_NFT,23.71,-6.68%,-92.18%,0.06,2.0K,5.6K
21,759,TiptoePunks,23.7,+84.17%,+2770.72%,0.1,450,2.5K
16,760,Sidus NFT Heroes,23.69,-84.77%,+153.03%,0.23,1.1K,5.3K
43,761,CyberBox Tools,23.64,---,+53.79%,---,165,1
41,762,Ape Kids Club (AKC),23.59,+44.76%,+20.83%,0.13,5.3K,10.0K
42,763,Rug Radio Membership Pass,23.53,-23.67%,-36.35%,0.08,13.7K,20.0K
9,764,Legend Maps: Founder Maps,23.47,-54.16%,+10.44%,0.19,1.8K,5.8K
15,765,FEWOCiOUS,23.36,-100.00%,+199.49%,2.25,807,1.7K
13,766,Ethalien,23.31,+595.86%,+0.50%,0.1,1.8K,7.5K
38,767,Hyena Hype Club,23.3,+61.44%,---,0.25,287,753
34,768,Planetary Property Association: Surrealestates,23.28,+28.30%,-5.03%,0.06,5.5K,10.0K
12,769,Ocarinas,23.24,+503.45%,+100.87%,0.22,484,1.6K
35,770,Ninja mfers Official,23.19,---,---,0.13,1.8K,4.4K
2,771,Heroes NFT Collection,23.18,-58.79%,-31.21%,0.17,909,3.3K
29,772,Doge Pound Puppies,23.13,+140.60%,-12.27%,0.16,4.8K,8.2K
27,773,entretiempos by Marcelo Soria-Rodríguez,23.12,+9.35%,-89.76%,0.42,460,1.0K
6,774,GENESIS APIENS,23.08,---,---,---,8,10
3,775,The Mysterious World,22.97,+3673.33%,+175.68%,0.04,2.6K,6.7K
4,776,mfer x wavelength,22.95,-72.28%,-74.99%,0.9,168,2
22,777,EyeOfTheSyndicate,22.92,-66.90%,-38.90%,2.25,88,1
24,778,Kawaii Skull,22.91,-20.04%,-93.29%,0.03,4.1K,10.0K
23,779,Crypto Raiders Characters,22.85,-32.79%,-51.48%,0.03,3.2K,58.2K
18,780,Punk X Official,22.76,-4.14%,-66.36%,0.2,340,3.1K
21,781,The Wanderers,22.71,-21.44%,-61.98%,0.37,4.2K,8.9K
19,782,Why Was 6 Afraid of 7,22.67,-100.00%,---,< 0.01,345,789
20,783,Sketchy Ape Book Club,22.67,-91.47%,+616.10%,0.06,2.2K,10.0K
1,784,Lucky Tags Armada Genesis Collection,22.66,-66.91%,---,0.04,236,501
17,785,Enigma Economy NFT,22.52,+36.49%,+53.61%,0.25,349,8.0K
15,786,Planktoons,22.21,-66.53%,-95.00%,0.04,2.5K,4.4K
16,787,MetaMoose - MTMS,22.19,+99.73%,-27.73%,0.25,649,1.0K
2,788,Animetas,22.14,-52.12%,-48.35%,0.23,4.2K,10.1K
14,789,Genesis TWD,22.13,-47.87%,---,0.11,449,777
12,790,Super Apes Club: Genesis,22.08,+162.18%,-2.61%,0.07,717,2.2K
13,791,Crookz by NIXON,21.96,-67.38%,-32.20%,0.05,4.3K,10.0K
3,792,Bears Deluxe Old,21.95,-50.39%,+23.73%,1.9,429,6.9K
11,793,ZenApe,21.9,-34.14%,-24.95%,0.25,2.4K,5.0K
4,794,Mutant Anatomy Science Ape Club,21.86,-73.00%,+176.68%,0.02,5.9K,16.0K
10,795,ARBO Heroes,21.79,-29.87%,---,0.03,1.8K,10.0K
5,796,Project Aurora by Shift/Space,21.76,-100.00%,---,---,1,1
9,797,The Beeings,21.62,-20.96%,-55.32%,0.04,5.7K,10.0K
6,798,Gunslingers Collection,21.61,+77.67%,+20.61%,0.06,3.6K,7.8K
7,799,Celestials ETH,21.51,-66.41%,-83.65%,0.04,1.8K,4.0K
8,800,DeRace Horses,21.49,-45.01%,-31.94%,0.22,1.9K,4.9K
75,801,CrazySkullzNFT,21.46,-80.03%,-89.71%,0.07,2.9K,10.0K
73,802,The Fungible by Pak,21.45,---,+0.75%,5,929,6.3K
74,803,Square-Bears-NFT,21.37,-68.58%,---,0.04,492,1.2K
69,804,The Animoon,21.3,-59.88%,+99.95%,0.06,5.3K,10.0K
72,805,lobsterdao,21.25,+501.99%,+56.81%,1.92,1.6K,3.4K
70,806,The OctoMob Family,21.12,-100.00%,+428.09%,---,36,40
71,807,The F8 Club - NFT,20.99,-94.76%,+19.99%,0.22,976,3.8K
53,808,FF Cowbear,20.85,---,-36.91%,---,28,191
68,809,xmfer pets,20.84,-87.42%,---,< 0.01,977,2.7K
66,810,Icy Founders Club,20.84,-54.87%,+103.83%,0.62,1.3K,1.3K
67,811,Seed Round Collection,20.8,+732.50%,-53.31%,1.52,83,2
54,812,Defenders of Dogewood,20.8,+503.78%,+5.03%,0.27,236,5.0K
65,813,Alpha Shark,20.77,---,-66.60%,12,429,450
63,814,Da Workers,20.74,---,---,0.6,199,301
64,815,NFTs Mining,20.62,-45.41%,-46.19%,0.04,1.1K,4
55,816,Bad Face Bots,20.57,+106.28%,-30.29%,0.12,2.6K,5.6K
62,817,Sipherian Surge,20.48,+60.98%,-38.01%,0.28,3.8K,10.0K
56,818,"2426c TRENDY GANG SERIES01 featuring CLOT ""SOULJAHZ""",20.44,+255.94%,-85.54%,0.15,946,1.6K
61,819,GOATz,20.41,+331.16%,+4.14%,0.14,2.8K,7.2K
57,820,Tunney Munney,20.27,-69.08%,+939.13%,0.28,609,4.4K
60,821,COOL DOGS Official,20.24,-4.14%,+70.69%,0.12,2.6K,5.0K
58,822,Cosmic Reef by Leo Villareal,20.09,---,+140.95%,1.1,386,1.0K
59,823,CHIBI DINOS,19.91,+62.36%,-48.64%,0.13,3.3K,10.0K
44,824,Non-Fungible People by Daz 3D,19.85,+74.79%,+2.64%,0.1,3.4K,8.9K
75,825,8SIAN Main Collection,19.85,-43.62%,-27.13%,0.1,4.5K,8.9K
51,826,Nifty Island: Legendary Palms,19.84,-100.00%,-65.70%,2.99,567,6
49,827,ApeLanders NFT,19.74,-36.41%,---,< 0.01,448,2.2K
50,828,NFT Academy,19.73,+178.81%,+35.40%,0.75,524,1
45,829,Fyat Lux (Dawn Collection),19.73,+343.55%,+26.49%,0.08,3.9K,8.1K
48,830,Doge Army by ShibaDoge,19.58,-7.08%,+23.54%,0.15,2.0K,10.0K
46,831,Moon Ape Lab Mint Pass,19.51,-53.20%,+201.64%,0.19,807,1.1K
47,832,The Cybernites,19.41,-54.65%,+80.79%,0.04,911,3.1K
30,833,Non-Fungible Fungi Collection,19.31,+83.62%,-51.26%,0.14,3.5K,9.6K
43,834,Immortal Monks,19.31,-52.67%,-18.01%,0.5,1.1K,2.5K
65,835,Archetype by Kjetil Golid,19.25,-100.00%,-38.69%,13,317,600
42,836,Holy Villains,19.23,-32.05%,-55.58%,0.23,617,3.3K
37,837,OxyaOriginProject,19.11,+68.25%,-85.06%,0.29,3.0K,7.9K
40,838,PASS TICKET,"43,997.93",-100.00%,---,---,16,50
62,839,Ugly Math Apes,19.08,-79.23%,---,0.14,179,300
39,840,StrongBlock NFTs,19.05,-68.02%,-71.91%,1.44,1.3K,5.2K
54,841,Paradise Trippies,19.02,-50.53%,-19.43%,0.07,1.9K,10.0K
60,842,ParanormiesNFT,18.95,-11.29%,-94.32%,0.04,1.6K,4.2K
58,843,SoulWorld: LEGENDS,18.92,-75.55%,+2049.99%,0.25,73,100
35,844,DOODLE ROOMS,18.86,-18.34%,+59.48%,0.04,2.2K,10.0K
31,845,Golf Goonz,18.86,-70.36%,+3.05%,0.09,114,346
33,846,Crypto.Chick,18.85,---,-72.98%,3.1,147,200
32,847,Wavelength by Kaleb Johnston,18.85,+189.20%,-20.04%,1.35,704,1.1K
1,848,Moshi Mochi,18.84,-57.37%,-72.19%,0.06,3.8K,8.0K
53,849,HUXLEY Genesis,18.74,+162.37%,-54.50%,4.15,189,10
27,850,FASHION APE NFT,18.71,+176.14%,+29.28%,0.05,1.4K,2.0K
52,851,Illuvium,18.69,-88.25%,-5.10%,0.25,2.0K,21
47,852,ElysiumClubNFT,18.67,+258.08%,-51.10%,0.48,576,1.3K
50,853,Good Morning Cafe,18.6,-30.54%,+481.55%,2,250,333
24,854,dotdotdots,18.54,-86.93%,+57.27%,0.13,2.7K,4.9K
25,855,Habbo Avatars,18.46,-46.67%,-52.31%,0.16,4.3K,11.6K
32,856,Pluto Alliance V2,18.44,-52.40%,-14.60%,0.04,4.1K,10.0K
46,857,Demi-Human NFT,18.29,-27.45%,-35.01%,0.16,4.2K,10.0K
44,858,CryptoShibes,18.27,+12.48%,-93.60%,< 0.01,3.6K,10.0K
21,859,Project Spoon DAO,"42,086.58",+75.65%,+32.32%,71,1.4K,10.0K
16,860,Turf Objects,18.25,---,+578.44%,---,215,10
19,861,Immortals Futbol Club,18.25,-66.67%,---,0.25,70,100
41,862,iamjazmin Collection,18.2,---,+146.61%,3.9,3,9
42,863,The Superlative Secret Society,18.18,-19.47%,-77.73%,0.12,6.0K,11.1K
9,864,SUPERPLASTIC: Headtripz,18.13,+147.03%,-86.70%,0.07,3.3K,9.4K
39,865,Rebel Society,18.11,+17.62%,-49.75%,0.12,3.9K,7.0K
37,866,Phto. Curated Collection,18.09,+1006.82%,---,0.15,59,7
14,867,MetaScyra Origins,18.06,-81.44%,---,0.16,211,606
10,868,HPPRS Collection,17.94,-40.20%,-5.60%,0.1,2.9K,7.3K
12,869,Feathered Underdog Club,17.91,+546.94%,+17.35%,0.38,162,303
11,870,MegaToads,17.9,---,-31.51%,1.58,562,881
0,871,Elite Ape Entry Coins,17.83,-34.49%,-35.14%,0.1,8.8K,1
29,872,RandoMice Genesis,17.82,-70.80%,+945.53%,0.01,2.0K,7.0K
5,873,Shark Boy Fight Club,17.77,+234.41%,+28.38%,0.05,3.2K,8.9K
28,874,GRAYCRAFT2,17.75,-47.03%,-32.93%,0.33,1.6K,5.2K
25,875,Fortune Friends Club Official NFT,17.67,-23.92%,-84.22%,0.03,5.6K,8.9K
26,876,Firestarter Metaverse Champion,17.67,---,+113.15%,4.5,203,227
22,877,GANGSTER ALL STAR,17.65,-100.00%,+157.66%,---,47,64
24,878,Fury of The Fur NFT OFFICIAL,17.61,-30.22%,-58.53%,0.02,1.0K,2.4K
23,879,Lofi Guy,17.57,-100.00%,-63.69%,---,82,10
18,880,Long Neckie Ladies,17.56,+92.36%,-87.20%,0.6,1.6K,3.3K
21,881,Millionaire Puppy Club,17.51,-87.50%,---,0.2,12,99
19,882,STARKADE: Legion,17.49,+15.88%,+8.95%,0.07,2.0K,7.0K
20,883,Alfa Pass,17.38,+61.73%,-32.56%,0.38,1.9K,2.5K
1,884,CryptoZombiez NFT,17.32,+94.30%,+638.29%,0.08,830,5.6K
17,885,MferBots,17.31,+12.30%,---,0.01,577,2.0K
15,886,Affe mit Waffe,17.3,---,+43.36%,4.5,82,126
16,887,SlimeFarm_Land,"39,837",+24.49%,-39.36%,1445,328,502
2,888,The Invisibles by Noun Cats,17.22,+177.45%,-18.60%,0.04,1.3K,3.1K
14,889,Steve Aoki,17.2,+15.03%,+227.36%,0.18,966,2.9K
12,890,Eyes of Fashion Official,17.14,+67.46%,-69.78%,0.05,3.4K,8.9K
13,891,Exclusible Gold Alpha,17.07,-8.81%,-30.83%,3.79,328,388
3,892,Shields,17.02,+30.20%,+39.83%,0.19,1.6K,5.0K
11,893,Realms of Ether,17,---,-87.68%,7.7,159,384
4,894,The Token Beyond The Image,17,---,+4.80%,4.69,115,1
10,895,GLEWME CITY,16.99,+27.06%,+279.46%,0.1,444,2.8K
5,896,The CryptoMoms,16.97,+65.78%,+488.87%,0.09,6.7K,8.8K
9,897,Wilder World,16.95,+162.19%,-52.81%,0.47,2.3K,6.8K
6,898,HoopHeds,16.94,---,---,---,40,90
7,899,2112.run Genesis Cryptorunners,16.92,-0.42%,---,0.05,1.3K,2.6K
8,900,Holy Heroes,16.87,-10.34%,-18.27%,0.22,1.1K,3.3K
75,901,THE BORED GOATS COLLECTION,16.85,-8.74%,-52.85%,0.09,1.2K,1.7K
73,902,BRAiN VOMiTS GARDEN,16.84,+49.70%,-39.18%,0.35,2.3K,4.4K
74,903,Meemos World,16.77,+126.78%,-97.51%,0.03,2.9K,6.7K
69,904,SuperRare,16.76,---,-81.98%,0.12,6.2K,29.9K
72,905,AveragePunks,16.73,-16.08%,+247.44%,0.09,695,4.2K
70,906,DAVA Humanoids,16.62,-100.00%,+552.88%,0.08,1.5K,9.8K
71,907,XOiD Fleet 001,16.57,+232.41%,-40.38%,0.18,1.6K,4.4K
53,908,IreneDAO,16.57,+379.29%,-11.22%,0.8,487,1.1K
68,909,The SolaVerse: SOLA-STARS,16.56,+1367.92%,+51.60%,0.45,879,2.0K
66,910,A0K1VERSE Passport,16.5,-52.00%,---,0.1,1.4K,1.6K
67,911,Edifice by Ben Kovach,16.49,+131.58%,+99.40%,1.8,600,976
54,912,TIMEPieces Slices of TIME (Slices),16.47,+89.28%,-89.79%,0.04,3.0K,5.3K
65,913,Mad Rabbits Riot Club,16.47,+396.48%,-48.50%,0.1,2.5K,7.5K
63,914,CryptoFoxes,16.46,-56.08%,+137.58%,0.05,3.0K,11.1K
64,915,freshdrops,16.42,-100.00%,-44.98%,1,486,1
55,916,Corruption(s*),16.4,---,-34.53%,0.34,1.5K,4.2K
62,917,Grumpets,16.25,+42.33%,-84.41%,0.05,1.6K,3.6K
56,918,ExpansionPunks,16.17,-54.13%,-56.37%,0.11,3.2K,10.0K
61,919,The Alien Boy,16.16,-72.95%,+6.46%,0.15,3.7K,10.0K
57,920,Spider Tanks,16.16,+286.83%,-21.29%,0.03,6.1K,53
60,921,SpacePunksClub,16.14,-60.29%,+5.03%,0.13,4.4K,10.0K
58,922,Project Galaxy NFT,16.13,-34.75%,-9.85%,< 0.01,13.7K,28.0K
59,923,Async Blueprints,16.12,+540.89%,-67.94%,0.02,2.9K,7.3K
44,924,RTFKT PUNK PROJECT GEN 1,16.07,-100.00%,+147.23%,2.95,271,490
75,925,Soulection+ Radio: UNTITLED 001,16.05,+280.00%,---,0.24,301,333
52,925,Soulection+ Radio: UNTITLED 001,16.05,+280.00%,---,0.24,301,333
51,926,Crypto Assemblage,16,-100.00%,---,---,1,8
74,926,Crypto Assemblage,16,-100.00%,---,---,1,8
49,927,Daxio Owls,16,-100.00%,+1500.00%,---,59,103
72,927,Daxio Owls,16,-100.00%,+1500.00%,---,59,103
50,928,Nefturians,15.99,-19.46%,---,0.17,339,527
73,928,Nefturians,15.99,-19.46%,---,0.17,339,527
45,929,Liang Zhi Lao Hu by Dr. Woo,15.98,-100.00%,-60.05%,1.5,65,80
68,929,Liang Zhi Lao Hu by Dr. Woo,15.98,-100.00%,-60.05%,1.5,65,80
48,930,Good Rebels,15.97,-87.59%,---,0.09,169,3
71,930,Good Rebels,15.97,-87.59%,---,0.09,169,3
46,931,Wall St Bulls,15.97,+64.30%,-9.18%,0.16,3.7K,10.0K
69,931,Wall St Bulls,15.97,+64.30%,-9.18%,0.16,3.7K,10.0K
70,932,The Space Warriors Club,15.94,-16.07%,+22.90%,0.12,4.0K,6.5K
47,932,The Space Warriors Club,15.94,-16.07%,+22.90%,0.12,4.0K,6.5K
30,933,Polymorphs,15.92,-67.81%,-68.73%,0.19,2.2K,10.0K
0,933,Polymorphs,15.92,-67.81%,-68.73%,0.19,2.2K,10.0K
67,934,RUDE BOYS,15.86,+57.65%,+325.45%,0.2,1.2K,123
43,934,RUDE BOYS,15.86,+57.65%,+325.45%,0.2,1.2K,123
65,935,ALIENEGRA x EDC,15.85,+18.36%,-93.87%,0.09,1.2K,1.8K
41,935,ALIENEGRA x EDC,15.85,+18.36%,-93.87%,0.09,1.2K,1.8K
66,936,Bufficorn Buidl Brigade,15.77,-18.53%,-82.49%,0.04,4.2K,10.0K
42,936,Bufficorn Buidl Brigade,15.77,-18.53%,-82.49%,0.04,4.2K,10.0K
61,937,Klay Museum,"36,313.58",-57.67%,+1661.09%,125,585,5.5K
37,937,Klay Museum,"36,313.58",-57.67%,+1661.09%,125,585,5.5K
40,938,Pampered Pugs,15.7,-61.39%,---,0.09,281,340
64,938,Pampered Pugs,15.7,-61.39%,---,0.09,281,340
62,939,Rivermen,15.67,-90.59%,+218.88%,0.1,1.6K,10.0K
38,939,Rivermen,15.67,-90.59%,+218.88%,0.1,1.6K,10.0K
39,940,Galaktic Gang,15.65,-48.19%,-53.30%,0.2,2.6K,5.6K
63,940,Galaktic Gang,15.65,-48.19%,-53.30%,0.2,2.6K,5.6K
30,941,MetaaniGEN,15.64,-19.18%,+728.32%,0.39,776,1.4K
54,941,MetaaniGEN,15.64,-19.18%,+728.32%,0.39,776,1.4K
60,942,Genesis Penguins NFT,15.54,-88.25%,---,< 0.01,1.4K,10.0K
36,942,Genesis Penguins NFT,15.54,-88.25%,---,< 0.01,1.4K,10.0K
58,943,MetaPunk MintPass,15.52,-67.53%,---,0.02,224,22
34,943,MetaPunk MintPass,15.52,-67.53%,---,0.02,224,22
59,944,Non Either by Rafaël Rozendaal,15.52,---,+417.33%,1.69,55,100
35,944,Non Either by Rafaël Rozendaal,15.52,---,+417.33%,1.69,55,100
31,945,VeeFriends Mini Drops,15.49,---,+50.39%,1.25,590,1.2K
55,945,VeeFriends Mini Drops,15.49,---,+50.39%,1.25,590,1.2K
33,946,EtherOrcs Items,15.48,-58.59%,-28.96%,< 0.01,675,3
57,946,EtherOrcs Items,15.48,-58.59%,-28.96%,< 0.01,675,3
32,947,Ethlizards,15.48,-56.15%,-93.55%,0.05,1.4K,5.1K
56,947,Ethlizards,15.48,-56.15%,-93.55%,0.05,1.4K,5.1K
1,948,Degengineering Collection,15.47,-100.00%,-60.13%,0.69,88,12
31,948,Degengineering Collection,15.47,-100.00%,-60.13%,0.69,88,12
29,949,Meta Skeletons 2D,15.46,-45.03%,+8.24%,0.1,294,971
53,949,Meta Skeletons 2D,15.46,-45.03%,+8.24%,0.1,294,971
27,950,SpaceBoysNFT,15.45,-80.22%,+2212.69%,0.02,4.6K,8.9K
51,950,SpaceBoysNFT,15.45,-80.22%,+2212.69%,0.02,4.6K,8.9K
28,951,PUNKS: Origin Stories,15.45,-45.02%,-81.71%,0.13,3.6K,5.8K
52,951,PUNKS: Origin Stories,15.45,-45.02%,-81.71%,0.13,3.6K,5.8K
23,952,Chimera by mpkoz,15.43,---,-28.11%,1.25,652,987
47,952,Chimera by mpkoz,15.43,---,-28.11%,1.25,652,987
50,953,CrypToad Punks,15.33,-0.20%,-85.42%,0.03,2.1K,7.0K
26,953,CrypToad Punks,15.33,-0.20%,-85.42%,0.03,2.1K,7.0K
48,954,Legends of Venari Alpha Pass,15.33,-17.06%,-52.77%,0.37,1.3K,3.2K
24,954,Legends of Venari Alpha Pass,15.33,-17.06%,-52.77%,0.37,1.3K,3.2K
