,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
10,395,Leagues Under the Sea,59.2,+7.47%,---,0.13,422,888,d2ca2ed3-3801-470e-b168-6e504cd0250a
11,396,Damien Hirst - The Currency,59.19,+87.85%,-17.57%,3.93,1.7K,2.2K,b60dae65-52fd-48bc-8656-0d851c4ea473
6,397,fRiENDSiES,58.98,+19.22%,-34.52%,2.75,827,1,09feab4f-65c0-4e20-a96d-499a63d42de9
9,398,Cyber Gorillas Official,58.82,-13.35%,-67.04%,0.25,348,3.3K,01d102c7-c80a-4b41-bac7-d9d451ddb935
7,399,Feline Fiendz NFT,57.66,---,---,0.07,1.3K,3.1K,030a63b2-1fb0-4f6a-a602-33cbc83ca2c7
8,400,SUPERPLASTIC: Cryptojankyz,57.59,+196.91%,+8.97%,0.17,5.8K,13.9K,f1be5303-04c6-417a-850b-a6998c1d8887
75,401,Ember Sword Land,57.28,-5.14%,+67.44%,0.25,6.0K,40.0K,454eee09-2c2d-409a-a515-ca8c2e17a0a4
73,402,Deez Nuts (Official Nuts),57.28,-10.57%,+24.78%,0.3,3.4K,10.0K,27186dbc-0209-4453-bfb3-fc9f5a80580a
74,403,Delinquentz!,57.16,+44.50%,---,0.02,1.2K,3.6K,5f017aa3-5ac6-422f-8717-16098adc9e71
69,404,Noodles (Official),57.09,-30.79%,+179.50%,0.2,2.8K,5.6K,cb091b57-99b5-4447-9e44-a7562a786a4c
72,405,ABSOLUTELY DO NOT MINT,56.89,+64.72%,+24.06%,0.18,1.1K,3.7K,839632d6-3dd9-4064-8c84-5875607dd3a4
70,406,A0K1VERSE Credits,56.85,-64.82%,-75.52%,0.1,1.8K,1,f028dd12-a05e-45ae-afdc-cd757c33d710
71,407,NFTrees,56.8,---,-8.02%,12.5,263,421,e0bc9c40-492c-4820-832d-0e78e93d1251
53,408,Legionfarm Gaming Heroes #1,56.19,-6.19%,-51.81%,1.38,429,3.0K,253e16ff-38ae-4c2c-a394-d5564d0524b3
68,409,The Long Lost,56.19,-27.96%,-60.41%,0.07,4.6K,10.0K,516aa574-a5b8-4994-8cd6-979b28a6e8f8
66,410,StrongBlock NFTs,56.18,+96.63%,+134.59%,1.09,1.3K,5.2K,c023e191-0b32-423c-ad6d-2a0a93016523
67,411,Cryptowalkers-Official,56.1,+14.30%,+28.61%,0.33,2.1K,6.5K,c648fb3c-b2f4-42ab-b2da-06a6f580624c
54,412,GhostsProject,55.92,+6.22%,-31.36%,0.2,3.4K,10.0K,0cf62f2b-7425-48e5-b40c-819e90fd854f
65,413,BBZ Origin Collection,55.89,-34.83%,---,0.14,758,2.0K,c300cfc4-aa9c-4fca-a6bd-f9ba4e6edbcd
63,414,JUNGLE FREAKS BY TROSLEY,55.87,-52.35%,-52.32%,0.45,2.2K,10.0K,2cd2f455-7a11-449b-8956-83dce852ef0e
64,415,Bricktopians by Law Degree,55.33,+43.21%,+8.44%,0.23,5.2K,10.0K,36d042b2-ea16-464b-af33-8db19f2a1a70
55,416,Smircs,55.22,---,+2354.12%,2.15,84,125,e998897b-91d6-4212-a428-4ef8fbf4ef72
62,417,Grifters by XCOPY,55.09,-100.00%,+70.56%,7.89,536,666,e24b479c-d801-49a7-bd60-e889409acdd1
56,418,League of Kingdoms (Ethereum),54.97,-73.04%,+70.73%,0.03,1.8K,5.2K,448a2a8d-ddca-45f9-b654-7cc1c7d62377
61,419,XCOPY,54.91,---,+88.69%,4.2,711,1.3K,e98cc8d4-bd9f-49c2-88f1-c7ab01f8d9ec
57,420,TORIX GENESIS,54.89,-88.05%,-28.29%,0.03,1.3K,5.6K,f8713ac3-5c28-4f4b-8b7b-596219e8b391
60,421,LlamaBoost,54.7,+308.05%,-52.00%,0.88,1.6K,2,4018f439-1c98-48bc-a826-0654aa8b5ab0
58,422,Angry Polar Bears,"125,594.45",+5.04%,-67.41%,88,1.8K,9.0K,cdd4ace2-6a82-4334-b525-12ee94f926c9
59,423,Superlative Apes,54.21,+46.13%,-52.94%,0.27,2.5K,4.4K,232aea9d-1faf-4681-acd9-9fcbc4a72c6e
44,424,0N1 Force,54.07,+1.71%,-15.02%,0.38,4.3K,7.8K,d98c9d7a-72eb-4995-8a07-816192787a9f
75,425,Flooz GEN F,54.06,-23.79%,-51.38%,0.16,5.0K,10.0K,5cc86a45-c551-475a-b4ee-498dc47b272e
51,426,Freaks N' Guilds - Celestial Keys,53.73,-7.82%,-78.97%,0.24,389,4.4K,544365ce-3763-44a4-b69a-ae40cfc7ee5e
72,427,Metaverse HQ,53.64,+416.30%,-44.84%,3.49,1.4K,1,efb4efff-b0af-4224-aaf1-0576476a1786
73,428,KEYCard V1,53.59,-100.00%,+257.27%,15.5,116,118,e32adee4-02fd-4f7f-94bd-37d2192d2871
68,429,Pudgy Penguins,53.54,+4.47%,-56.55%,0.82,4.4K,8.9K,a81431b4-3bc0-4974-8580-eead89e7be61
71,430,Project MIP Network,52.99,+28.69%,+139.60%,0.05,5.3K,9.6K,cdf33864-b326-4c43-863e-ff20d4af2627
46,431,META RABBITS OFFICIAL V1,"121,811",-60.64%,-59.53%,300,799,5.5K,05900e19-c80c-4d3b-aae4-b6ded9a97a60
70,432,Bears Deluxe,52.79,-11.38%,-70.79%,0.83,2.7K,6.2K,e1c00c6e-7ff4-4249-8bd7-314e7f93b96c
0,433,Galaxy Fight Club,52.58,-6.57%,-8.74%,0.43,2.6K,10.1K,2000f687-c158-4149-be9d-e7c262f1913f
67,434,Fang Gang,52.58,+84.47%,+0.69%,0.17,4.4K,8.9K,0a672986-0672-4ae0-aaa6-6943f3cf20cb
65,435,Crypts and Caverns,52.53,-67.42%,-77.77%,0.17,1.3K,8.8K,8e49b3b7-25dc-4bf5-905d-7e7c68ff967a
66,436,Ninja Squad Official,52.13,+3.90%,-24.45%,0.28,3.2K,8.9K,fcc1681b-74bb-42c0-ae49-f6feaf382624
61,437,Kevin Rocks,52.04,-91.08%,---,0.02,333,555,db784fb5-970c-4dc5-be01-2e5e21a5c8fb
64,438,findbalance,51.75,+28.13%,-70.60%,0.33,929,9,37e76a41-4b93-40eb-aa14-b5886815b462
62,439,Letters by Vinnie Hager,51.59,---,-30.80%,3.32,853,1.0K,d170637e-b1b6-4d24-aa71-ec3d6f0891b4
39,440,Sad Girls Bar,51.32,-82.18%,+229.04%,0.2,4.8K,10.0K,15a783e8-2455-419c-be00-5cba3fd0040b
54,441,FOMO Dog Club,51.14,-1.65%,+50.86%,4.85,676,777,92c4735e-c7e2-4043-9db7-fe436f1c4fa7
60,442,Infinite Realm Official,51.02,-10.57%,-95.43%,0.04,3.2K,7.7K,c4cd3cef-8cd1-4fc5-a202-ab79e5b990b0
34,443,Trillionaire Thugs,50.97,+92.51%,-31.50%,0.34,4.0K,7.8K,6db07540-8626-45ef-9555-c76d8c05de9b
59,444,SVCC Golden Gamblers,50.58,-59.00%,+21.46%,2.4,632,1.1K,0de48e32-2558-4345-a115-ccda0690d213
55,445,Ultra Miners,50.11,+75.85%,-9.88%,0.55,2.2K,4.4K,9b4efb88-7d5e-42fe-a031-86c19e897cdf
57,446,FishyFam,49.84,+8.29%,-57.34%,0.13,6.0K,10.0K,17ce4d4e-b673-4f51-bd64-b7b3af0db549
56,447,Phancy Pets,49.54,-30.95%,-71.41%,0.1,3.8K,7.6K,ac5b258f-dde9-4cdd-a37d-136b7573768e
38,448,merge.,49.32,+81.61%,-4.61%,0.16,9.4K,26.8K,41c5649b-924c-45d1-a42f-d750c17938cc
53,449,Timeless Characters,48.73,+7.31%,-53.81%,0.48,3.1K,9.4K,fb1db4aa-5bb3-4afb-a89f-e3e065a31810
27,450,Gaia Kronos,"111,546.97",-10.48%,+55.61%,1880,714,2.2K,41f0f92d-10ed-468b-9043-592429cf0153
28,451,Undead Pastel Club,48.23,+97.51%,-6.83%,0.13,6.4K,10.0K,41718c15-2f5c-4d68-8990-e34492c6c6a7
23,452,Angry Pitbull Club,48.02,+46.74%,-82.92%,0.13,5.3K,10.0K,9c17f145-54a0-4d6e-8dea-5fc38eb20005
26,453,LetsWalk,47.96,-100.00%,-35.68%,4,565,72,95ce0e06-6dd1-44c9-8dab-eb817417c4aa
24,454,PonziRugs - Onchain Art,47.96,-100.00%,+772.43%,0.74,221,307,4bc19fd3-af02-4276-b98f-7fcf21781fa8
49,455,888 inner circle,47.47,-67.21%,-19.18%,0.58,2.5K,1,29ae8a7a-09b3-4f55-bd9d-135fec5de6b8
39,456,Metaverse Psychedelics Anonymous Pass,46.81,-44.73%,-24.33%,0.26,5.6K,9.6K,004288a6-b7e4-4f97-b4b9-62e878107eae
22,457,Archetype by Kjetil Golid,46.8,-100.00%,+143.12%,11.69,317,600,c21a7303-9268-4c1c-aae5-205bf9f18442
44,458,TheStarslabOfficial,46.75,-28.32%,---,0.1,892,1.4K,c339d6d6-709b-4b76-a635-47e20e6d7bdd
45,459,DumpsterDorks,46.72,-47.57%,-86.18%,0.13,2.0K,5.0K,847a3d8f-0a69-4333-8b19-ec04076f8889
40,460,Anonymice,46.63,+141.51%,+3.13%,1.09,373,10.0K,9305f71a-431f-4565-a0b1-7b05f530e132
19,461,Critterz Plots,46.62,+86.20%,-92.40%,0.13,1.5K,17.6K,8502322c-c9ba-4883-b89e-98389488355d
41,462,The BapesClan Genesis,46.57,-7.32%,-68.90%,0.34,1.3K,2.0K,84a7c5f2-71f3-45a9-91fb-ad21589c2e6c
42,463,Cupcat Kittens,46.25,-15.87%,-44.40%,0.02,3.2K,8.4K,3d8a5565-c9be-43cd-b3b9-210d8f2c9043
1,464,MultiNode,46.15,-49.04%,+87.21%,0.2,1.1K,2.7K,785770f2-b24e-4551-a843-de82b35149f1
14,465,Furballs.com Official,46.12,+1.80%,-10.72%,0.64,1.1K,7.3K,bbf43f57-f969-4275-8150-8e3183ab5504
12,466,Wassies by Wassies,46.1,+421.31%,-78.42%,0.66,2.6K,9.5K,e822f47a-55ec-4caa-b551-c14be2c107e0
13,467,GEN.ART Drop Collection,46.05,-53.48%,+536.87%,0.03,2.4K,11.2K,7c7cf300-579d-41a5-a2e2-5fd455cd6f16
9,468,Non Fungible Tools Lifetime Membership,45.91,+5.63%,-31.89%,0.8,1.1K,1,2efc5f10-89e3-4045-a3f0-710f7c4f46e2
11,469,Laid Back Llamas Collection,45.72,+11.62%,+0.04%,0.17,3.5K,7.0K,b9dea569-5171-4dfc-8153-b70a3e9e7d5d
33,470,MatrixWorld LandVoucher,45.62,+37.05%,-53.65%,1.28,1.1K,1.8K,c7817bd6-e3bc-4a44-ad8e-68f4ef28ba3c
28,471,Jake's World Editions,45.1,+956.88%,+1583.02%,0.65,186,12,fdb0bab6-c7b1-4c77-94af-3ab6568b9117
31,472,Cameo Pass,45.07,+20.33%,-77.40%,0.14,2.5K,3,77ac62b5-4adc-4554-9c4e-22e2ba4dbe27
29,473,Artificial Intelligence Club (Genesis),45.03,-100.00%,-91.99%,3.2,286,314,38fa5c7a-d25f-42c0-8c51-652f5ea84b7f
30,474,Subscapes by Matt DesLauriers,45,-100.00%,+379.23%,8.8,265,650,f720ede0-721f-44da-85d8-b3ab04daf10c
2,475,KnownOrigin,44.91,-96.98%,+501.97%,0.01,10.6K,54.1K,3ab94764-2e9c-443a-82e6-4ba9085195e8
5,476,Kumo x World Residents,44.73,-11.45%,+4.22%,0.22,3.8K,6.6K,e115a665-e9cf-414d-ac72-cd5c8849e9de
25,477,PREMINT Creator Pass,44.7,-11.11%,+1.82%,1,285,300,e552762a-7bb3-4e3a-90d7-d9b2b182fbce
26,478,The Weirdo Ghost Gang,44.42,-44.74%,-74.50%,0.16,2.5K,5.6K,3fe6e8bd-679c-4831-881d-3b5047357392
23,479,Bloodshed Bears Genesis MetaPass,44.23,+77.59%,+33.71%,0.28,162,1,28f58f22-41f1-499a-a630-f3a1282d65a7
24,480,Squishy Squad NFT,43.94,+9.20%,-30.34%,0.19,6.0K,8.9K,5074ad85-1f61-423e-b22f-531149164189
3,481,Woodies Generative Characters,43.46,-22.59%,-8.63%,0.23,3.8K,9.7K,3d90f1c2-19ff-4247-84a1-19bf9808d894
22,482,OnlyKevin,43.43,-79.10%,---,< 0.01,656,1.2K,fbbc3fb3-b63c-4fef-903f-013689834564
20,483,Geisha Tea House,43.22,-2.48%,-53.92%,0.06,4.1K,10.0K,e754c17f-1751-480d-bf39-c83b34613ccd
21,484,Voxel Ville Official,43.16,-68.10%,-74.58%,0.43,1.7K,4.3K,d6e13dd7-2865-48e8-ae1b-2e4aa66fa4f5
16,485,Terraforms by Mathcastles,42.97,-83.32%,-93.70%,0.5,2.2K,9.9K,04d4f310-60f2-4b81-bf1c-1770da500b04
19,486,Mad Meerkat Burrow,42.94,+32.57%,-17.09%,1.46,399,777,12015f3a-df93-413b-99e5-cf732c70797e
17,487,C-01 Official Collection,42.45,+36.04%,-22.99%,0.25,5.1K,8.9K,a98fa08c-468d-4826-b24e-1686eb72805d
18,488,OG (original garage) Social Club by Tai Lopez,42.44,-25.03%,---,0.19,975,2.0K,204db5d8-be8b-45a2-b1bb-5605f65b24ae
4,489,Picks Passport,42.28,-31.55%,+13.49%,0.77,1.2K,1,0b44738a-3875-4e5b-be3f-8a900893c90c
15,490,HENI: Damien Hirst - The Empresses,42.23,-2.99%,-18.45%,0.95,702,1.2K,abc748f9-53cd-4aa0-bf6f-b16b6860c29a
13,491,BEANS - Dumb Ways to Die,42.16,-21.29%,-34.34%,0.13,4.2K,10.0K,46d01339-ffaa-4c70-a365-5ff9977f8a63
14,492,CATBOTICA,41.97,+8.09%,-44.85%,0.15,2.0K,12.0K,a9c4b7c7-12a8-4c98-81fb-5766312dcfdc
5,493,renaissance-nft,"96,178",+46.20%,-53.00%,669,776,3.1K,dc3e7b2f-bec8-4265-87cd-0f6b7d680973
12,494,The Meta Key,41.73,-70.99%,+17.06%,0.2,6.1K,4,95c97c9a-dfe7-4f71-9c3c-f6e9128200a0
10,495,Angry Ape Army Evolution Collection,41.69,+36.92%,-59.20%,0.24,2.8K,10.0K,c66aa384-8647-4ede-868d-274efc26cf8c
11,496,CyberFrogz,41.5,-18.21%,-96.15%,0.04,2.6K,5.6K,562853f9-4ff2-4a15-8a64-bb0276745ed3
6,497,Prime Kong Planet by PAP,41.44,+7.53%,-58.41%,0.12,5.6K,9.7K,418dea66-76f1-446b-aef9-dd884dba5b08
9,498,Death Row EDM Vol. 1,41.43,+49.23%,---,0.03,282,4,de332d5a-b407-4538-95e6-bd68ba8f43ff
7,499,LaserCat NFT,41.39,-37.53%,-47.80%,2.4,249,520,6a71985d-8d2e-427e-8ddd-4f839041ea55
8,500,Blues NFT,41.34,+133.97%,---,0.14,400,2.4K,d675c2a3-c2f2-4be9-a16a-93804b67bd65
75,501,Rarible,41.29,-28.53%,+10.35%,< 0.01,208.4K,312.7K,19417621-58e5-44fa-b53b-b3ab1bb0a305
73,502,TCG Dragon Cave Club,41.03,+211.19%,-38.31%,0.19,3.0K,10.0K,5b3200fb-b38c-41fb-97f2-e53abb8ec367
74,503,Greedy Gramps by Gramps.io,40.61,-45.47%,---,0.14,741,2.2K,86aaceb2-122e-48e6-a588-157c75246b8d
69,504,Chicken DAO Game,40.5,+315.12%,---,0.03,247,1.6K,96cdc69f-4d67-4d44-ae57-d8f569593efe
72,505,Debt City Bankers,40.32,---,---,0.04,334,1.1K,6dd2ebaa-9adc-4b8c-b397-4fff0c36db00
70,506,Dooggies,40.09,+131.33%,-97.83%,0.09,3.4K,10.0K,1a88da90-1305-47b9-a65c-4d2c28fe699f
71,507,TurkeysMegaverse,39.99,-68.11%,-75.44%,0.02,3.3K,7.8K,34f2c57b-1c81-4142-b763-051c01dc3c67
53,508,Genesis Fat Academy,39.8,-100.00%,+45.49%,1.63,169,200,8493c799-bab9-456a-af23-6b3d8e1ec16a
68,509,Divine Anarchy,39.75,-30.99%,+43.54%,0.17,5.0K,10.0K,436b3993-a9b2-4f39-9d6d-b1b7fb599cfa
66,510,Flamigoz,39.43,-100.00%,---,0.01,244,400,0d4e3685-7f5d-493a-9ab7-65b9964aa2eb
67,511,Private Jet Pyjama Party,39.4,-79.32%,-44.42%,0.7,2.2K,5.3K,4e611f32-dc68-4d5c-9939-cd9235f02304
54,512,Doge Army by ShibaDoge,39.33,+67.41%,+130.75%,0.25,2.0K,10.0K,1d2f11b9-0105-476f-886c-3d96d9f488c8
65,513,MoonCats,39.3,-83.99%,-47.57%,0.44,5.6K,19.0K,147c8468-b960-49c3-9109-b76c36e6750e
63,514,IRL Psychedelics Anonymous Pass,39.17,-21.35%,-47.73%,0.29,5.6K,9.6K,e79bbfa2-68d2-45a4-97fb-334abcd4f3b4
64,515,Spider Tanks,38.93,+179.49%,+202.49%,0.03,6.1K,53,eed3d83e-4aa8-4dea-b026-6d5e320d3ce4
55,516,Life of Mon,38.8,+202.24%,+3880.00%,0.69,91,1,4b0dfc07-b593-430f-8e44-93bdcff34e6b
62,517,Hashmasks,38.61,+176.16%,-7.46%,0.64,5.1K,16.4K,ff70d7aa-b4e2-4c83-a222-9c1cf447ad0e
56,518,Alpha Girl Club,38.41,-41.85%,+15.06%,0.15,5.2K,9.9K,e9321913-685d-4bff-ba09-2789239e0371
61,519,Coalition Crew 2.0,38.39,+59.70%,+62.10%,0.25,1.3K,4.0K,fa71298b-c6e1-448e-b24a-8a94a1b4e310
57,520,Knights of Degen - Knights!,38.33,+452.90%,+60.19%,0.5,2.6K,8.9K,a54419d9-5f5f-4537-9ea9-26e88b80251a
60,521,Ape Invaders Genesis,38.32,+20.71%,-17.56%,0.16,561,5.5K,2b5a3e63-7f2a-47c2-9a99-d66a634a610f
58,522,More Than Gamers | MTG,38,+18.84%,-28.82%,0.12,4.0K,10.1K,dcfbcb95-5d99-4a11-b276-c1a03f0e1fc8
59,523,Ethlizards,37.98,-25.08%,+70.92%,0.11,1.3K,5.1K,b7cdd711-6b95-4f71-badc-27ac759e8a56
44,524,Desperate ApeWives,37.83,+237.00%,-24.89%,0.36,4.6K,10.0K,4072f457-912d-4398-b688-8075b5d6e48f
75,525,XenoInfinity,37.71,-25.24%,-53.47%,0.16,698,2.6K,5c07054e-065c-4af4-9aeb-843557cfd12c
51,526,Generative Dungeon,37.65,+37.69%,-57.31%,0.4,1.9K,3.0K,d2570014-13c9-42c5-bb40-47e863b92f3a
49,527,Mysterverse - Lucky Zodiac,37.51,-100.00%,+18655.00%,3.5,36,301,fae4b695-8596-45c4-84e2-278cb0b698c2
73,528,Aku Chapters,37.47,+69.77%,-23.84%,0.45,979,13.6K,f1b372ee-73f9-4a57-8179-f8ccb34bb49f
68,529,Slimes World,37.11,+6.96%,-70.96%,0.09,644,1.0K,b6b2ee6f-b26a-430a-bc53-00a655b27c26
48,530,The Red Village Champions,36.86,-82.46%,-8.50%,0.12,2.2K,11.0K,384032e2-607d-49dc-ae68-f333841c8e49
46,531,uwucrew,36.75,+9.72%,+12.38%,0.26,4.0K,9.7K,1046cb0e-5005-4c39-9952-c8f77d91c573
70,532,PILLS,36.7,+3.00%,+13.75%,0.56,757,1.6K,80d674e6-63cb-47dc-864b-5fd477c4e0bb
0,533,Smart Beast Circle,36.54,+55.16%,---,0.3,680,1.0K,cc4441c2-a140-4f2f-9fbc-3df3a02950ec
67,534,BattleFly Charity Drops,36.35,-100.00%,---,14,10,12,0421496f-ddc4-4514-b7db-e04aa90b39f8
65,535,DWCNFT GENESIS PASSES,36.28,-100.00%,-45.84%,5.75,246,1,95971778-470c-4a9e-bbba-85d278bc56d1
66,536,GAMA SPACE STATION,36.27,-70.65%,---,0.05,920,4.8K,21734137-0960-42fd-95cc-9d6d71f11db2
37,537,Goons of Balatroon,36.16,+119.48%,-2.99%,0.21,3.2K,9.7K,ba4faa4a-067a-4d6f-ba66-24da506d7334
40,538,Invisible Mfers,36.03,-43.97%,-91.58%,0.01,3.7K,8.0K,f55e6760-3bdf-43a2-ab74-5650ddbd6065
38,539,Crypto Raiders Characters,36,+101.41%,+47.24%,0.03,3.3K,58.8K,52d1e494-97e4-4be8-adaf-0fff384ecfe9
39,540,Gambling Apes,35.89,-38.71%,-55.67%,0.46,3.8K,7.8K,790e3bf5-605a-4ccf-940e-ea3193193e5f
54,541,Stampu,35.63,-43.72%,-35.82%,0.04,1.4K,40,c08c8549-555d-4590-a75c-d79956a53985
36,542,Genesis Komos by Ethlas,35.6,-59.38%,---,0.12,1.2K,8.3K,9e2b5965-4a85-4895-aaaa-32fd37f72431
58,543,NFT HUD Lifetime Access,35.25,-27.08%,-54.23%,0.35,2.7K,3.0K,af8426bf-5ed0-46e4-83be-beb431c2681d
59,544,XOiD Fleet 001,35.23,-95.23%,+80.20%,0.29,1.5K,4.4K,d562070c-9646-4344-8e9a-b2b4a65af52c
55,545,1989 Sisters,35.07,+38.38%,-30.89%,0.88,703,2.0K,05342916-bc14-4c00-aed1-8ac7de2c7bba
57,546,The Squishiverse NFT,35,+8.72%,-40.84%,0.05,4.2K,8.9K,ca99b9df-a5fa-4876-9a44-d65f84c084f1
56,547,Wulfz Official,34.94,-26.42%,-16.26%,0.09,945,6.9K,cdf75ed1-890b-4082-971a-7e0720edfc65
38,548,Giovanna Amati Tribute,34.87,-100.00%,---,9.02,3,7,a52d545a-caef-461d-a639-cdcb1214dc35
53,549,Poolsuite - Executive Member,34.49,-84.27%,+64.16%,1.1,2.0K,2.5K,645d4cdb-86bf-4025-bd11-9bee9a65ffd2
51,550,PunksVoxels,34.4,+24.23%,+11.86%,0.01,580,10.0K,0ca65a59-21d7-4872-939a-3015a9a1e3a0
28,551,Queens+Kings,33.91,+97.86%,-33.69%,0.18,2.6K,7.1K,d1d4142e-f0c2-4682-99f8-258d9f0e3856
47,552,Atomverse Genesis,33.78,-53.55%,-84.35%,0.03,2.4K,4.4K,d95745dd-02a9-4937-b0f2-a20e16c1697c
50,553,Hunnys,33.57,+164.65%,-11.78%,0.06,2.8K,10.0K,4b311919-45e5-46cd-bd8e-2ad7385bcaf5
48,554,Cryptoshack Club,33.45,+99.46%,---,0.07,1.1K,4.2K,d042d17a-203b-4453-b5c0-441d0df103ef
49,555,Notorious Alien Space Agents,33.39,+131.15%,-72.60%,0.17,607,5.6K,01a2fe5c-f233-4c42-afe4-f1c58c5e790e
39,556,Project T Genesis,33.37,-84.76%,---,0.4,201,222,4009183d-e4f4-43f8-8e0c-0dea17135ed0
22,557,THE PLUTO ALLIANCE,33.36,+223.44%,-42.65%,0.09,3.4K,10.0K,a348b0c3-a24d-4061-af6f-41d4004b2dd7
20,558,Alpha Kongs Club - AKC,33.32,+152.66%,-53.14%,0.14,5.5K,8.9K,cbc90171-52a1-49b9-b6f6-465e2104c6b0
21,559,Boonji Project,33.21,-52.10%,-9.10%,0.17,5.2K,11.1K,79db48c6-1a2c-41f1-b54b-4adbf3773e42
16,560,NFT Academy,33.09,-24.65%,+150.93%,0.8,524,1,858909ec-2d6d-4da2-8a1d-cf16eb1fdc9a
43,561,Kenome,"75,565",+271.80%,-15.69%,650,125,10.0K,17902c0e-814c-4ce6-b4f5-8765c296fe11
17,562,Katabolicz Genesis,32.76,-20.23%,-27.17%,0.67,766,888,1b436721-f784-4171-a326-6d88cfa98d44
18,563,Lucky Lion Club Official (LLC),32.72,+22.04%,-39.47%,0.15,2.5K,4.0K,739c61ca-86ed-438f-91bc-9f947f8d8159
2,564,VoxoDeus,32.5,+276.06%,+32.54%,0.19,1.7K,6.3K,4add682c-b2da-4659-be4c-f2bd75d60105
14,565,AMBUSH OFFICIAL POW! Reboot,32.48,+202.03%,-53.58%,0.2,1.3K,2.0K,aa9c3d76-e4ea-4ddf-a979-d46c3af9a3d4
35,566,Tom Sachs Rocket Factory,32.18,-14.81%,-72.25%,2.2,576,1.8K,e28141fe-b937-4e90-8a98-c8120b30c364
36,567,Lucky Zeros | Purebase,31.88,-36.63%,+6.70%,0.33,1.4K,3.3K,f3d493e3-90c0-4b8f-a4d9-bba001a62824
32,568,Bored Ape Kevin Club,31.87,-50.70%,---,0.01,327,556,22776857-23c5-45d4-ad87-0e5745b809cb
34,569,HODLERSDAO,"73,018.93",---,---,110,829,2.5K,2b6400e4-31cb-419c-86d5-df118414d1cf
33,570,OpenDAO Genesis Membership,31.74,+558.63%,-33.51%,0.04,3.7K,4,3f58e6fa-f542-4f0e-a690-8ef5eed0e543
3,571,Roborovski NFT Collection by SYA Concept,31.66,-55.61%,-92.07%,0.05,4.8K,7.8K,662932e7-fa21-4c7a-9450-23957c03b611
31,572,Colonists,31.61,+42.83%,+8.44%,0.07,5.7K,25.0K,be0585a3-51f9-4bd6-b661-afb469a2645c
29,573,Scholarz,31.59,+224.09%,+73.90%,0.74,429,2.4K,be947f12-f655-4051-97de-53a879762e74
30,574,Block Queens by Jeremy Cowart,31.21,-71.62%,-89.48%,0.22,703,999,03a526c5-88c2-477d-8771-13b011aadb88
2,575,TOKYO PUNKS by SABET,30.93,+115.33%,-43.08%,0.1,2.9K,4.9K,cd796aa5-6f42-4429-91d7-d60d823a7ce8
5,576,CryptoHippos Official,30.83,-62.23%,+36.67%,0.06,2.2K,5.8K,a35671f2-dc3c-4c3e-9e82-de44759d82f0
25,577,Monster Ape Club | MAC,30.81,-34.63%,+18.03%,0.09,4.2K,8.0K,70ab4b1a-8d8d-41a3-be78-f11b284e83dc
26,578,Whales Worldwide 2022,30.8,---,---,6.29,74,100,b748b01b-cb04-4def-bde3-0cca35b9ef3c
23,579,Footium Football Clubs,30.77,-23.66%,+353.07%,0.34,1.2K,3.0K,9a40b971-f220-47c2-bd86-6107d433d97e
24,580,Forgotten Babies Wizard Orphanage,30.74,+111.93%,-9.26%,0.02,1.3K,10.0K,07214163-07a2-45f3-aea4-cc8414871f10
3,581,Alotta Money,30.71,---,---,18,117,178,81aaca7b-af45-49a9-87ff-098d8c777c44
22,582,Riot Racers Cars,30.7,+68.54%,+276.57%,0.07,1.5K,6.8K,1d688f3f-14c8-4082-8d8b-676e9acf8e8e
20,583,Dreaming Doge,30.67,-56.23%,+4.23%,0.1,503,11,0aaf47ab-7040-4e32-8a97-6f923314b5aa
21,584,FF Cowbear,30.45,-100.00%,-10.57%,0.5,29,205,540fb961-1025-4636-9007-6040bfba017a
16,585,Crypto Raiders MOBS,30.27,+230.01%,-12.41%,0.17,1.6K,12.6K,92c1385b-d655-4ac5-b97c-49d81f6e2b2e
19,586,Party Degenerates,30.22,-51.68%,+6.18%,0.21,3.6K,10.0K,5c7ce8a8-52f1-48fd-80be-cb39fb2dd655
17,587,EtherOrcs Items,30.19,+10.63%,+153.11%,0.01,723,3,71fc41b1-0e95-4f33-81ef-3819b9d17373
18,588,Northern Guilds - Guild of Thor,30.15,+48.94%,+3200.07%,0.06,3.0K,10.0K,5c05a7d5-8125-4caa-b27b-04b736af49d0
4,589,0xmons,30,---,---,15,212,341,df2c3d11-943b-4fa2-a4c6-710513d1b321
15,590,Feral File #010 - -GRAPH,30,-100.00%,---,5,19,32,ec2ec817-c197-47c4-b9bd-30f4bfb0afcd
13,591,Synthetic Dreams by Refik Anadol,29.98,-100.00%,-7.21%,2.29,619,1.0K,027bf581-965f-459a-86b0-62117c797662
14,592,Women and Weapons,29.94,+39.20%,-40.60%,0.24,5.7K,10.0K,7d130b61-647a-4ae3-9e3d-a704daad63f4
5,593,ZenAcademy,29.9,-10.69%,-55.75%,0.25,5.1K,2,2c188c70-2086-4f58-81bb-6c391a05a48c
12,594,Meta Legends,29.9,+77.47%,-7.11%,0.18,5.1K,12.3K,5c4c9e39-e436-420d-99f6-38884ee19f69
10,595,Ethalien,29.67,-72.16%,+115.47%,0.1,1.8K,7.5K,211294eb-2533-4b62-9d63-8d26e5d4f435
11,596,NFT Butler,29.5,+247.00%,+136.96%,0.65,74,1,776334c5-b61c-40fe-9773-23bb808b7456
